	Germ	GBegF	BegFEndF	EndFBegM	BegMEndM	FloCol	StemCol	BushShape	LeafSize	FlowStemCol	AscoRes	StemBr	StemL1ord	StemBr1ord	StemBr2ord	PodD	PodS	Height	Hlp	NoPodsWeight	PodsWeight	PodsNumber	SeedsNumber	SeedsWeight	PodShape	PodLength	PodWidth	SeedShape	SeedCol	Seed1000W
VIR0373	8	39	13	27	15	2	3	5	5	3	3	9	5	7	5	2	1	50	25	19.5	20.8	49	79	13.7	7	23	11	3	11	190
VIR0374	8	41	13	24	15	2	3	5	5	3	9	9	5	7	5	1	2	60	20	37.2	26.2	136	130	27.8	7	19	9	3	11	190
VIR0375	8	39	15	24	15	1	3	5	5	3	7	9	5	7	5	2	1	65	25	24.5	54.1	82	86	26.7	7	23	11	5	1	240
VIR0376	8	39	15	25	15	1	3	5	5	3	5	7	3	1	5	1	2	56	22	11.6	25.5	45	30	7.6	7	23	10	5	1	255
VIR0377	8	39	21	20	17	3	5	5	5	7	5	9	5	7	5	2	1	55	25	14.1	20.7	64	78	12	7	20	8	3	10	170
VIR0378	8	40	20	20	17	3	3	5	5	3	5	9	5	7	5	1	2	60	31	24.8	19.5	64	51	15.6	7	20	11	3	11	270
VIR0380	8	41	19	21	15	3	5	3	5	7	5	9	5	7	5	2	1	65	30	21.4	12.7	46	61	8.6	7	20	10	3	10	190
VIR0381	8	40	20	21	15	2	3	5	3	3	5	7	5	1	5	2	2	50	24	8	7.8	38	28	5.2	7	20	9	3	11	200
VIR0382	8	39	14	26	13	2	3	5	5	3	5	7	5	7	5	2	2	60	19	23.1	30.2	66	48	12.4	7	25	11	3	10	300
VIR0383	8	39	13	27	13	1	3	5	7	3	5	9	5	7	5	2	2	56	20	17.8	46.4	59	59	21.3	5	24	12	3	1	435
VIR0400	9	31	9	22	18	2	3	5	3	3	9	9	5	7	5	2	2	55	25	27.3	30.2	58	94	19	7	20	10	5	2	210
VIR0407	8	40	35	12	19	3	7	3	3	7	3	9	5	7	5	1	1	55	27	12.8	19.9	46	42	8.2	7	20	11	3	11	190
VIR0408	8	39	16	24	13	1	3	3	5	3	3	9	5	7	5	2	2	56	22	29.5	45.7	139	148	24.3	7	20	10	5	1	200
VIR0409	8	39	16	24	11	1	3	5	3	3	3	9	5	1	5	1	1	45	19	8	12.5	93	79	7.5	7	19	10	3	1	110
VIR0412	8	36	17	28	13	3	7	5	3	7	3	9	5	1	5	1	1	35	17	2.3	1.8	18	5	0.2	7	17	8	3	10	110
VIR0413	8	36	17	27	12	3	7	5	3	7	3	9	5	1	5	1	1	33	20	2.3	2.4	22	11	0.8	7	17	8	3	10	110
VIR0414	8	35	17	28	12	3	7	5	3	7	3	9	5	1	5	1	1	35	17	5	3.1	29	18	1.4	7	16	7	3	14	110
VE0112_0450	7	35	19	25	11	3	5	3	3	7	9	7	5	7	5	1	1	61	25	22.6	26.3	76	96	15.8	7	19	8	3	10	145
VIR0453	13	34	13	28	15	1	3	3	7	3	3	9	5	1	5	1	1	43	27	13.6	2	3	2	0.7	5	25	14	5	1	220
VIR0454	8	39	13	28	15	1	3	3	5	3	3	9	5	7	5	1	2	50	26	8.6	6.3	18	9	2.3	5	25	13	3	1	260
VIR0464	8	39	14	27	12	3	5	5	3	7	7	9	5	7	7	2	1	50	24	15.6	6.4	28	26	4.3	7	19	10	3	11	190
VIR0467	10	37	13	28	15	1	3	3	7	3	5	9	5	7	7	2	1	60	20	16.3	23.7	40	26	9	5	25	13	5	1	390
VIR0471	8	36	17	27	14	3	7	5	5	7	3	9	5	7	7	2	1	60	17	22.4	17	88	49	11.8	7	21	10	3	11	250
VIR0472	8	36	18	26	14	3	7	3	5	7	3	9	5	7	7	1	1	45	17	14	8	48	31	5.2	7	19	8	3	11	210
VIR0473	8	37	18	25	12	3	3	3	5	3	7	9	5	7	7	1	2	56	20	10.7	11.4	46	37	9.7	7	18	9	5	10	255
VIR0474	8	39	16	24	12	3	7	3	5	7	3	9	5	7	7	1	2	50	20	18.8	16.5	48	42	8.3	7	25	12	3	10	250
VIR0482	8	39	14	27	14	3	7	5	3	7	3	7	5	1	5	1	1	52	22	9	10.8	45	43	7.3	7	21	11	3	11	160
VIR0483	8	39	14	27	14	3	7	5	3	7	3	9	5	7	5	2	2	52	20	6.5	7.4	23	21	3.3	7	20	9	3	11	225
VIR0533	8	39	14	28	14	1	3	5	7	3	5	9	5	7	7	2	1	60	20	27.5	52.7	77	52	21.5	5	25	14	5	1	475
VIR0535	8	39	14	27	13	1	3	3	5	3	3	9	5	7	5	2	2	55	26	12.7	6.4	20	19	5.9	5	25	13	5	1	345
VIR0539	8	39	15	26	15	3	7	3	5	7	5	9	5	7	7	2	1	62	30	16.1	13.9	35	14	4	7	21	11	3	11	290
VIR0540	9	40	19	24	12	3	7	5	5	7	5	9	5	7	7	2	2	52	21	14.2	21.2	45	39	10.9	7	22	11	3	11	260
VIR0542	8	39	14	26	15	1	3	3	5	3	5	9	5	7	5	2	1	50	23	11.5	13.2	32	29	8.1	7	21	11	5	1	265
VIR0543	9	29	4	27	15	1	3	5	3	3	9	9	5	7	5	2	2	45	20	21	9.2	30	31	7.6	7	23	12	5	1	245
VIR0545	8	39	13	28	14	1	3	3	3	3	7	9	5	5	5	2	2	53	20	17	19	84	95	16.6	7	22	9	7	1	200
VIR0584	8	39	13	27	14	1	3	3	5	3	5	9	5	7	5	2	2	60	21	18.2	21.7	68	58	14.2	7	24	13	3	1	310
VIR0586	8	40	13	26	14	1	3	3	5	3	9	9	5	7	5	1	2	56	24	32.2	51	95	118	28	7	21	11	5	1	275
VIR0587	8	36	17	27	16	3	7	5	3	7	7	7	5	5	5	2	2	55	24	12.6	12.7	48	50	8.7	7	22	10	3	11	200
VIR0588	8	39	15	25	14	3	3	3	3	3	9	7	5	5	5	2	1	67	26	26.3	19.3	61	53	14.5	7	22	10	3	11	285
VIR0589	8	39	15	26	17	1	3	3	7	3	5	7	5	7	7	2	1	56	20	31	5.7	62	35	10.9	5	26	13	3	1	350
